"Jelölt neve","Nemzetiség","Státusz","OEVK","Állapotváltozás dátuma","Jelölő szervezet neve","Lista típusa"
"BESZTERI DORINA","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 02. számú egyéni választókerület","2026. március 9.","Otthon Védelme Ingatlan Párt",""
"BICSKEI LÁSZLÓ","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BIHARI ALEXANDRA","","Kiesett","Somogy vármegye, 02. számú egyéni választókerület","2026. március 11.","Normális Élet Pártja",""
"DR. BIHARI ZOLTÁN","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 06. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"DR. BIHARI ZOLTÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. BILISICS ZITA","","Nyilvántartásba véve","Pest vármegye, 09. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"DR. BILISICS ZITA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BINDER CSABA","","Nyilvántartásba véve","Budapest főváros, 04. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"BINDER CSABA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. BIRKÁS ANTAL","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BIRÓ ILONA","","Nyilvántartásba vétel visszautasítva","Pest vármegye, 02. számú egyéni választókerület","2026. március 13.","Normális Élet Pártja",""
"BIRÓ MARCELL","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BIRÓNÉ SZEIDL ÁGNES","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 16. számú egyéni választókerület","2026. március 15.","Normális Élet Pártja",""
"BLAU SÁNDOR","","Nyilvántartásba véve","Heves vármegye, 01. számú egyéni választókerület","2026. március 14.","Magyar Kétfarkú Kutya Párt",""
"BLAU VIRÁG","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 02. számú egyéni választókerület","2026. március 9.","Magyar Kétfarkú Kutya Párt",""
"BLAU VIRÁG","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"BODA BÁNK","","Nyilvántartásba véve","Komárom-Esztergom vármegye, 01. számú egyéni választókerület","2026. március 6.","Mi Hazánk Mozgalom",""
"BODA BÁNK","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BODA LAJOS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BODA NIKOLETTA","","Nyilvántartásba véve","Budapest főváros, 11. számú egyéni választókerület","2026. február 26.","Tisztelet és Szabadság Párt",""
"BODA NIKOLETTA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BODÁCS KÁROLY","","Nyilvántartásba véve","Győr-Moson-Sopron vármegye, 02. számú egyéni választókerület","2026. március 14.","Magyar Kétfarkú Kutya Párt",""
"BÓDI CSABA BENDEGÚZ","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 02. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"BÓDIS KRISZTA","","Nyilvántartásba véve","Budapest főváros, 02. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"BÓDIS KRISZTA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. BÓDIS PÉTER","","Nyilvántartásba véve","Heves vármegye, 01. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"DR. BÓDIS PÉTER","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BODNÁR GYÖRGY","","Nem kíván indulni","Budapest főváros, 08. számú egyéni választókerület","2026. március 3.","Független jelölt",""
"BODÓ LÁSZLÓ","","Nyilvántartásba véve","Zala vármegye, 03. számú egyéni választókerület","2026. március 2.","Demokratikus Koalíció",""
"BODÓ LÁSZLÓ","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"BODÓ SÁNDOR","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 05. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. BODÓ SÁNDOR","","Nem kíván indulni","Komárom-Esztergom vármegye, 02. számú egyéni választókerület","2026. március 5.","Nemzetegyesítő Mozgalom a Szentkorona Országaiért",""
"BODÓ SÁNDOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BODÓCZI ISTVÁN","","Nyilvántartásba véve","Békés vármegye, 01. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"BODÓCZI ISTVÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BODROGI TAMÁS","","Nyilvántartásba vétel visszautasítva","Bács-Kiskun vármegye, 02. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"BOGDÁNY SÁNDOR FERENC","","Nyilvántartásba vétel visszautasítva","Veszprém vármegye, 01. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"BOGNÁR IGNÁC","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. BOGNÁR LÁSZLÓ","","Nyilvántartásba véve","Pest vármegye, 05. számú egyéni választókerület","2026. március 1.","Mi Hazánk Mozgalom",""
"DR. BOGNÁR LÁSZLÓ","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BOJÉR ZOLTÁN","","Ajánlóív igénylése visszautasítva","Tolna vármegye, 03. számú egyéni választókerület","2026. február 25.","Független jelölt",""
"BÓKA JÁNOS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. BÓKA ZSOLT","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BOKÁNYI BERTOLD","","Nyilvántartásba véve","Fejér vármegye, 02. számú egyéni választókerület","2026. március 15.","Magyar Kétfarkú Kutya Párt",""
"BOLBÁS ILDIKÓ","","Nyilvántartásba véve","Pest vármegye, 06. számú egyéni választókerület","2026. március 10.","Magyar Kétfarkú Kutya Párt",""
"BÓLYA RICHÁRD","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 07. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"BOMBICZ TAMÁS","","Nyilvántartásba véve","Budapest főváros, 14. számú egyéni választókerület","2026. március 15.","Magyar Kétfarkú Kutya Párt",""
"BOMBICZ TAMÁS","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"BÓNA SZABOLCS","","Nyilvántartásba véve","Győr-Moson-Sopron vármegye, 03. számú egyéni választókerület","2026. február 24.","Tisztelet és Szabadság Párt",""
"BÓNA ZOLTÁN","","Nyilvántartásba véve","Pest vármegye, 09. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"BÓNA ZOLTÁN","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BORBÉLY ZSUZSANNA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"BORICS MIHÁLY","","Nyilvántartásba véve","Fejér vármegye, 02. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"BORICS MIHÁLY","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BORKUTI BÁLINT","","Nyilvántartásba véve","Budapest főváros, 13. számú egyéni választókerület","2026. március 6.","Magyar Kétfarkú Kutya Párt",""
"BORKUTI BÁLINT","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"BORONDICS BARNABÁS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BOROS DÁNIEL","","Nyilvántartásba véve","Pest vármegye, 01. számú egyéni választókerület","2026. március 9.","Magyar Kétfarkú Kutya Párt",""
"BOROS ISTVÁN","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BOROS JÓZSEF","","Nem kíván indulni","Vas vármegye, 01. számú egyéni választókerület","2026. március 13.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"BORSÓS GABRIELLA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BORSOS GYULA ZOLTÁN","","Nyilvántartásba véve","Zala vármegye, 01. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"DR. BORVENDÉG ZSUZSANNA","","Nyilvántartásba véve","Pest vármegye, 03. számú egyéni választókerület","2026. február 28.","Mi Hazánk Mozgalom",""
"DR. BORVENDÉG ZSUZSANNA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BOTLÓ KORNÉL","","Nyilvántartásba véve","Pest vármegye, 10. számú egyéni választókerület","2026. február 27.","Mi Hazánk Mozgalom",""
"BOTLÓ KORNÉL","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BOVIER GYÖRGY","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. BÖGI VIKTÓRIA","","Nyilvántartásba véve","Fejér vármegye, 03. számú egyéni választókerület","2026. február 24.","Tisztelet és Szabadság Párt",""
"DR. BÖGI VIKTÓRIA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BÖJTE ZITA","","Nyilvántartásba véve","Pest vármegye, 05. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"DR. BRENNER KOLOMAN","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 01. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"BUCZKÓ ANDREA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"BUCZKÓ RÉKA","","Nyilvántartásba véve","Veszprém vármegye, 01. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"BUCSKÓ NIKOLETT","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"BUDAI FERENC","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 07. számú egyéni választókerület","2026. március 9.","Normális Élet Pártja",""
"DR. BUDAI GYULA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BUDAI RÓBERT CSABA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BUDAI SÁNDOR VIKTOR","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 06. számú egyéni választókerület","2026. március 6.","Magyar Kétfarkú Kutya Párt",""
"BUDAI SÁNDOR VIKTOR","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"BUDAI-VARGA LILIÁNA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. BUGYA LÁSZLÓ","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 05. számú egyéni választókerület","2026. február 24.","Tisztelet és Szabadság Párt",""
"DR. BUGYA LÁSZLÓ","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BUJDOSÓ ANDREA ANNA","","Nyilvántartásba véve","Pest vármegye, 03. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"BUJDOSÓ ANDREA ANNA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BURAI ERIKA","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 03. számú egyéni választókerület","2026. március 8.","Független jelölt",""
"BURAI MARCELL","","Nyilvántartásba vétel visszautasítva","Pest vármegye, 06. számú egyéni választókerület","2026. március 10.","Jobbik Magyarországért Mozgalom",""
"DR. BURUZS ATTILA MIHÁLY","","Nem kíván indulni","Budapest főváros, 02. számú egyéni választókerület","2026. március 13.","Középen Állók Pártja",""
"BÚS JÓZSEF","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BUZA LÁSZLÓ","","Nyilvántartásba vétel visszautasítva","Baranya vármegye, 03. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"BÜKI ZOLTÁN","","Nem kíván indulni","Budapest főváros, 12. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"BÜRGER ZOLTÁN","","Nyilvántartásba véve","Budapest főváros, 03. számú egyéni választókerület","2026. március 9.","Magyar Kétfarkú Kutya Párt",""
"CATRICICAU RÓBERT","","Nem kíván indulni","Budapest főváros, 14. számú egyéni választókerület","2026. március 3.","Hallassuk a Hangunkat Szövetségesei Párt",""
"CUKALASZ MÁRKOSZ","Görög","Nyilvántartásba véve","","2026. március 7.","Magyarországi Görögök Országos Önkormányzata","Nemzetiségi lista"
"CZAKÓ SZABOLCS JÁNOS","","Nem kíván indulni","Bács-Kiskun vármegye, 04. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"CZAKÓ-CZIRBUS PÁL","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. CZÁRÁN ISTVÁN","Örmény","Nyilvántartásba véve","","2026. március 2.","Országos Örmény Önkormányzat","Nemzetiségi lista"
"CZEGLÉDI JÁNOS","","Nyilvántartásba véve","Budapest főváros, 07. számú egyéni választókerület","2026. március 5.","Mi Hazánk Mozgalom",""
"CZEGLÉDI JÁNOS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. CZEGLÉDY CSABA","","Nyilvántartásba véve","Vas vármegye, 01. számú egyéni választókerület","2026. február 26.","Független jelölt",""
"DR. CZINEGE KRISTÓF","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. CZIPA ANDRÁS","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 02. számú egyéni választókerület","2026. február 26.","Tisztelet és Szabadság Párt",""
"DR. CZIPA ANDRÁS","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. CZIRÁKI ATTILA","","Nyilvántartásba véve","Baranya vármegye, 01. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. CZIRÁKI ATTILA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"CZIRÁKI SZABOLCS","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"CZIRBUS GÁBOR","","Nyilvántartásba véve","Csongrád-Csanád vármegye, 04. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"CZIRBUS GÁBOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"CZOBOR PÉTER","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. CZUCZOR GERGELY","","Nyilvántartásba véve","Pest vármegye, 02. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. CZUCZOR GERGELY","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"CZUNYINÉ DR. BERTALAN JUDIT","","Nyilvántartásba véve","Komárom-Esztergom vármegye, 03. számú egyéni választókerület","2026. február 26.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"CZUNYINÉ DR. BERTALAN JUDIT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"CZVANCZIG LÁSZLÓ","","Nyilvántartásba véve","Nógrád vármegye, 01. számú egyéni választókerület","2026. március 13.","Magyar Kétfarkú Kutya Párt",""
"CSÁK LÁSZLÓ","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 03. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
